"start_station","station_count"
"Santa Clara at Almaden","1447"
"Spear at Folsom","5113"
"Grant Avenue at Columbus Avenue","6735"
"Evelyn Park and Ride","71"
"Park at Olive","276"
"S. Market St at Park Ave","84"
"Post at Kearny","4348"
"San Francisco Caltrain 2 (330 Townsend)","22358"
"Redwood City Public Library","59"
"Clay at Battery","4357"
"5th S at E. San Salvador St","19"
"California Ave Caltrain Station","392"
"Townsend at 7th","11170"
"5th at Howard","5436"
"Castro Street and El Camino Real","1014"
"Broadway St at Battery St","5695"
"Stanford in Redwood City","428"
"5th St at E. San Salvador St","1"
"Franklin at Maple","2"
"Beale at Market","7373"
"Santa Clara County Civic Center","420"
"Adobe on Almaden","789"
"San Salvador at 1st","540"
"Cowper at University","788"
"SJSU - San Salvador at 9th","481"
"Mountain View Caltrain Station","2515"
"Paseo de San Antonio","833"
"South Van Ness at Market","5398"
"Washington at Kearny","2844"
"Arena Green / SAP Center","547"
"San Jose City Hall","518"
"Charleston Park/ North Bayshore Area","343"
"Yerba Buena Center of the Arts (3rd @ Howard)","3460"
"5th St at Folsom St","173"
"Market at Sansome","10970"
"MLK Library","630"
"Embarcadero at Sansome","13424"
"San Pedro Square","1215"
"Kaiser Hospital","147"
"Temporary Transbay Terminal (Howard at Beale)","13111"
"San Antonio Caltrain Station","611"
"San Francisco City Hall","2195"
"Mechanics Plaza (Market at Battery)","5613"
"San Antonio Shopping Center","559"
"Civic Center BART (7th at Market)","5043"
"2nd at South Park","7722"
"Market at 10th","9937"
"St James Park","694"
"San Francisco Caltrain (Townsend at 4th)","23591"
"Cyril Magnin St at Ellis St","69"
"Golden Gate at Polk","3309"
"Mezes Park","7"
"Japantown","945"
"University and Emerson","490"
"Powell at Post (Union Square)","4488"
"Palo Alto Caltrain Station","1170"
"San Jose Civic Center","543"
"Redwood City Caltrain Station","695"
"Commercial at Montgomery","4969"
"Ryland Park","879"
"2nd at Townsend","14099"
"Powell Street BART","6826"
"San Jose Diridon Caltrain Station","4035"
"Steuart at Market","13693"
"Embarcadero at Vallejo","4710"
"Sequoia Hospital","15"
"Market at 4th","7337"
"Embarcadero at Folsom","7820"
"SJSU 4th at San Carlos","363"
"Mezes","119"
"Mountain View City Hall","1291"
"Middlefield Light Rail Station","66"
"San Mateo County Center","86"
"Howard at 2nd","7583"
"Rengstorff Avenue / California Street","42"
"2nd at Folsom","7464"
"Davis at Jackson","5240"
"Redwood City Medical Center","5"
"Harry Bridges Plaza (Ferry Building)","16128"
"Embarcadero at Bryant","7714"
