"end_station","duration"
"Santa Clara at Almaden","726.6758430832759807"
"Spear at Folsom","608.9855351976856316"
"Grant Avenue at Columbus Avenue","1478.6814183617372183"
"Evelyn Park and Ride","739.0131578947368421"
"Park at Olive","1405.9926470588235294"
"S. Market St at Park Ave","1585.7475728155339806"
"Post at Kearny","744.2211221122112211"
"San Francisco Caltrain 2 (330 Townsend)","609.4920325478894728"
"Redwood City Public Library","1186.7014925373134328"
"Clay at Battery","856.7997652582159624"
"5th S at E. San Salvador St","1767.0000000000000000"
"California Ave Caltrain Station","1825.5910543130990415"
"Townsend at 7th","666.2058280147799798"
"5th at Howard","583.5723111040709647"
"Castro Street and El Camino Real","802.5021739130434783"
"Broadway St at Battery St","756.4946168461051298"
"Stanford in Redwood City","1071.6590436590436590"
"5th St at E. San Salvador St","686.0000000000000000"
"Franklin at Maple","2068.6000000000000000"
"Beale at Market","699.7918381344307270"
"Santa Clara County Civic Center","1604.7739938080495356"
"Adobe on Almaden","828.9907894736842105"
"San Salvador at 1st","1084.9933333333333333"
"Cowper at University","1210.0707964601769912"
"SJSU - San Salvador at 9th","1227.6196868008948546"
"Mountain View Caltrain Station","996.8829617834394904"
"Paseo de San Antonio","724.4401709401709402"
"South Van Ness at Market","1366.0309677419354839"
"Washington at Kearny","1061.8850610710930160"
"Arena Green / SAP Center","1426.4759259259259259"
"San Jose City Hall","1147.7605321507760532"
"Charleston Park/ North Bayshore Area","2370.2261580381471390"
"Yerba Buena Center of the Arts (3rd @ Howard)","757.0955141129032258"
"5th St at Folsom St","527.2980132450331126"
"Market at Sansome","612.9269519461425366"
"MLK Library","1012.9728000000000000"
"Embarcadero at Sansome","1400.3825076293747159"
"San Pedro Square","816.3774885145482389"
"Kaiser Hospital","670.2962962962962963"
"Temporary Transbay Terminal (Howard at Beale)","582.8352827296926676"
"Mechanics Plaza (Market at Battery)","731.3687905915394067"
"San Antonio Caltrain Station","1083.6819012797074954"
"San Francisco City Hall","1361.3194221508828250"
"San Antonio Shopping Center","724.3996710526315789"
"Civic Center BART (7th at Market)","1033.1034334763948498"
"2nd at South Park","531.5899035734543392"
"Market at 10th","1044.9286602038279891"
"St James Park","578.4172989377845220"
"San Francisco Caltrain (Townsend at 4th)","723.1106294433847754"
"Cyril Magnin St at Ellis St","2926.2205882352941176"
"Golden Gate at Polk","1277.8000760167236792"
"Mezes Park","257.0000000000000000"
"Japantown","969.8289183222958057"
"University and Emerson","4710.8977272727272727"
"Powell at Post (Union Square)","1631.9815567364801500"
"Palo Alto Caltrain Station","1927.4484435797665370"
"San Jose Civic Center","2372.5842349304482226"
"Redwood City Caltrain Station","1147.6666666666666667"
"Ryland Park","1223.4040296924708378"
"2nd at Townsend","633.2570440573770492"
"Powell Street BART","991.0090537383177570"
"Commercial at Montgomery","564.7165292500981547"
"San Jose Diridon Caltrain Station","599.5223076923076923"
"Steuart at Market","668.5274823303369244"
"Embarcadero at Vallejo","1372.6702468437912191"
"Sequoia Hospital","1633.5000000000000000"
"Embarcadero at Folsom","613.8816484224082421"
"Market at 4th","1022.0010223455527968"
"SJSU 4th at San Carlos","967.1324324324324324"
"Mezes","644.8508771929824561"
"Mountain View City Hall","651.1602048280907096"
"Middlefield Light Rail Station","1199.8709677419354839"
"San Mateo County Center","1008.0288461538461538"
"Howard at 2nd","592.6638180383907441"
"Rengstorff Avenue / California Street","1658.5000000000000000"
"Davis at Jackson","735.5104631217838765"
"2nd at Folsom","557.0507602339181287"
"Embarcadero at Bryant","697.7435816164817750"
"Redwood City Medical Center","359.0833333333333333"
"Harry Bridges Plaza (Ferry Building)","918.8773540489642185"
